defect_type,days_overdue,section_load,failure_risk,urgency_score,repair_hours
Overhead wear,2,0.9,0.6,74.05,5.23
Signal fault,15,0.46,0.7,88.07,3.73
Ballast wear,6,0.67,0.76,76.12,7.05
Ballast wear,1,0.92,0.66,71.32,6.41
Signal fault,22,0.13,0.85,100.0,4.14
Rail crack,1,0.87,0.3,65.37,3.98
Signal fault,13,0.52,0.26,82.01,2.76
Rail crack,7,0.73,0.46,80.77,4.22
Point failure,25,0.57,0.25,90.63,4.62
Rail crack,4,0.69,0.85,86.77,5.09
Point failure,12,0.7,0.26,76.07,4.31
Point failure,29,0.57,0.14,100.0,4.26
Signal fault,20,0.64,0.32,83.9,3.62
Point failure,16,0.75,0.65,98.04,4.67
Overhead wear,23,0.29,0.13,82.18,4.84
Signal fault,16,0.55,0.64,96.8,3.78
Overhead wear,8,0.17,0.76,80.3,5.33
Ballast wear,24,0.32,0.84,100.0,7.68
Ballast wear,11,0.42,0.18,58.2,6.66
Point failure,29,0.96,0.78,100.0,5.2
Overhead wear,21,0.67,0.98,100.0,6.13
Signal fault,25,0.15,0.7,100.0,4.15
Rail crack,22,0.6,0.53,100.0,4.98
Rail crack,18,0.93,0.97,100.0,5.52
Point failure,6,0.51,0.57,78.34,4.53
Signal fault,11,0.21,0.17,55.78,3.85
Point failure,6,0.38,0.59,68.45,4.47
Ballast wear,0,0.9,0.65,65.08,6.84
Signal fault,26,1.0,0.42,100.0,4.54
Overhead wear,11,0.66,0.89,85.42,5.01
Overhead wear,0,0.31,0.2,35.82,4.38
Point failure,17,0.31,0.14,65.97,3.76
Point failure,11,0.96,0.82,100.0,4.03
Signal fault,29,0.65,0.25,100.0,4.22
Overhead wear,18,0.56,0.31,80.38,5.11
Rail crack,25,0.8,0.42,100.0,4.91
Rail crack,23,0.91,0.52,100.0,5.31
Rail crack,8,0.91,0.87,89.07,4.67
Signal fault,27,0.53,0.14,96.13,3.86
Signal fault,26,0.35,0.33,95.53,3.85
Overhead wear,27,0.2,0.91,100.0,6.35
Signal fault,25,0.61,0.7,100.0,4.35
Rail crack,5,0.57,0.88,83.65,4.71
Rail crack,12,0.85,0.73,100.0,5.4
Point failure,6,0.89,0.97,98.71,4.43
Ballast wear,9,0.84,0.31,74.12,6.62
Point failure,6,0.27,0.18,57.11,3.26
Ballast wear,27,0.11,0.84,100.0,7.28
Ballast wear,8,0.97,0.41,74.58,6.62
Overhead wear,21,0.94,0.72,100.0,5.58
Rail crack,11,0.16,0.62,84.48,4.37
Signal fault,17,0.88,0.98,100.0,4.14
Overhead wear,10,0.84,0.43,75.58,5.36
Ballast wear,1,0.35,1.0,62.01,6.17
Overhead wear,28,0.37,0.86,100.0,6.25
Signal fault,26,0.88,0.97,100.0,4.39
Ballast wear,27,0.75,0.77,100.0,7.34
Point failure,17,0.88,0.53,100.0,4.57
Signal fault,13,0.58,0.12,66.6,3.77
Point failure,25,0.65,0.82,100.0,4.89
Rail crack,29,0.72,0.49,100.0,4.83
Overhead wear,20,0.63,0.49,100.0,5.38
Ballast wear,13,0.98,0.75,98.11,7.21
Point failure,5,0.92,0.75,83.17,4.38
Point failure,24,0.61,0.12,85.71,4.29
Rail crack,9,0.8,0.95,100.0,4.8
Rail crack,12,0.17,0.84,83.86,4.7
Ballast wear,13,0.72,0.84,91.61,6.98
Signal fault,28,0.74,0.13,100.0,4.05
Ballast wear,27,0.82,0.41,100.0,7.42
Ballast wear,21,0.51,0.68,100.0,7.23
Signal fault,17,0.15,0.32,70.67,3.61
Overhead wear,22,0.14,0.25,81.17,4.76
Signal fault,2,0.17,0.46,51.45,3.0
Rail crack,6,0.52,0.88,90.73,5.15
Point failure,4,0.41,0.43,63.35,4.28
Point failure,25,0.75,0.54,100.0,4.51
Signal fault,25,0.92,0.29,100.0,4.4
Rail crack,2,0.8,0.46,77.34,4.81
Ballast wear,22,0.47,0.16,75.02,6.75
Overhead wear,14,0.63,0.62,84.76,5.5
Rail crack,26,0.38,0.46,100.0,5.61
Point failure,12,0.31,0.31,70.05,4.41
Ballast wear,28,0.4,0.85,100.0,7.39
Signal fault,11,0.74,0.25,76.74,3.9
Overhead wear,16,0.86,0.83,100.0,5.72
Point failure,26,0.2,0.34,94.89,4.35
Point failure,25,0.14,0.21,90.08,4.39
Overhead wear,0,0.56,0.14,44.66,4.75
Rail crack,6,0.51,0.56,83.95,4.59
Point failure,22,0.13,0.38,83.75,4.66
Ballast wear,20,0.18,0.71,92.74,7.12
Ballast wear,0,0.85,0.95,74.13,7.36
Rail crack,25,0.88,0.61,100.0,5.59
Signal fault,30,0.69,0.45,100.0,4.35
Point failure,1,1.0,0.14,58.44,3.74
Overhead wear,8,0.18,0.36,59.81,4.79
Point failure,5,0.49,0.91,81.19,4.6
Overhead wear,10,0.44,0.37,62.39,5.45
Rail crack,11,0.65,0.61,92.65,4.17
Rail crack,16,0.59,0.5,93.27,4.81
Ballast wear,1,0.52,0.44,51.84,6.72
Point failure,20,0.83,0.2,91.96,3.91
Point failure,3,0.65,0.79,80.43,4.48
Signal fault,10,0.12,0.28,59.19,3.64
Signal fault,18,0.15,0.94,95.28,4.21
Overhead wear,3,0.33,0.36,56.48,4.69
Signal fault,7,0.38,0.65,68.99,4.01
Point failure,25,0.21,0.26,86.42,4.62
Overhead wear,30,0.74,0.2,97.43,5.69
Point failure,19,0.54,0.83,100.0,4.75
Ballast wear,14,0.96,0.64,91.0,6.94
Rail crack,25,0.29,0.65,100.0,5.18
Rail crack,25,0.33,0.37,100.0,5.18
Ballast wear,24,0.19,0.66,100.0,6.88
Rail crack,2,0.88,0.53,69.5,4.53
Overhead wear,14,0.31,0.29,64.24,5.38
Overhead wear,28,0.15,0.23,92.12,5.06
Ballast wear,2,0.5,0.5,59.27,6.3
Point failure,25,0.4,0.91,100.0,5.24
Overhead wear,0,0.64,0.46,51.15,4.5
Point failure,12,0.57,0.16,68.11,4.2
Overhead wear,7,0.89,0.69,74.58,5.37
Signal fault,21,0.7,0.99,100.0,5.01
Ballast wear,22,0.52,0.15,81.48,6.8
Overhead wear,28,0.72,0.28,98.94,5.59
Rail crack,22,0.78,0.41,100.0,5.17
Overhead wear,22,0.46,0.24,90.05,5.39
Overhead wear,19,0.66,0.18,79.59,5.32
Point failure,5,0.24,0.16,50.24,3.66
Overhead wear,1,0.44,0.41,53.19,4.37
Signal fault,19,0.35,0.95,100.0,4.75
Point failure,4,0.45,0.55,71.0,3.37
Overhead wear,2,0.71,0.58,63.29,5.15
Point failure,13,0.17,0.46,77.05,3.99
Ballast wear,13,0.98,0.68,89.9,6.99
Rail crack,3,0.65,0.23,62.6,4.24
Rail crack,12,0.43,0.16,71.03,4.65
Point failure,12,0.94,0.89,100.0,4.43
Overhead wear,10,0.66,0.69,82.5,5.8
Ballast wear,29,1.0,0.15,99.2,6.87
Rail crack,27,0.37,0.19,96.1,5.01
Point failure,3,1.0,0.83,80.31,4.53
Point failure,3,0.57,0.48,60.13,3.91
Signal fault,27,0.53,0.26,99.97,3.99
Ballast wear,29,0.53,0.12,94.45,6.73
Ballast wear,23,0.58,0.29,87.09,7.1
Signal fault,16,0.59,0.51,83.68,3.88
Point failure,15,0.76,0.53,87.26,3.89
Ballast wear,20,0.96,0.22,88.07,6.56
Rail crack,0,0.83,0.17,58.85,4.09
Point failure,7,0.52,0.67,81.42,4.34
Rail crack,14,0.9,0.51,95.93,4.91
Overhead wear,7,0.18,0.74,66.89,5.69
Point failure,10,0.97,0.95,100.0,4.92
Ballast wear,4,0.59,0.85,72.25,6.58
Point failure,16,0.37,0.79,90.16,5.06
Ballast wear,2,0.21,0.65,57.12,6.95
Ballast wear,22,0.14,0.97,97.78,7.71
Ballast wear,21,0.54,0.93,100.0,7.5
Ballast wear,10,0.14,0.2,48.48,6.52
Signal fault,13,0.5,0.65,85.26,3.83
Rail crack,23,0.99,0.7,100.0,5.14
Point failure,8,0.59,0.67,83.14,4.76
Point failure,10,0.39,0.78,86.28,3.91
Overhead wear,17,0.2,0.72,83.02,5.57
Point failure,12,0.47,0.78,92.94,4.91
Signal fault,22,0.72,0.89,100.0,4.57
Ballast wear,25,0.11,0.32,81.56,6.75
Ballast wear,1,0.28,0.6,55.28,6.94
Signal fault,1,0.42,0.81,68.01,3.68
Ballast wear,25,0.13,0.77,92.75,7.03
Signal fault,30,0.38,0.89,100.0,4.49
Signal fault,25,0.45,0.47,94.35,4.5
Rail crack,12,0.18,0.63,91.11,4.78
Overhead wear,15,0.3,0.73,86.47,5.33
Ballast wear,18,0.34,0.84,89.33,7.21
Overhead wear,11,0.81,0.74,90.25,5.87
Overhead wear,3,0.21,0.76,61.65,4.8
Rail crack,26,0.82,0.79,100.0,5.73
Rail crack,16,0.67,0.55,98.63,4.64
Point failure,10,0.77,0.96,100.0,4.15
Ballast wear,17,0.25,0.73,91.9,7.6
Rail crack,26,0.37,0.95,100.0,5.06
Signal fault,4,0.86,0.27,63.08,3.75
Overhead wear,3,0.22,0.17,43.64,5.26
Rail crack,23,0.76,0.79,100.0,4.99
Point failure,24,0.78,0.69,100.0,4.71
Point failure,6,0.32,0.92,78.04,4.14
Ballast wear,24,0.8,0.16,86.7,6.84
Point failure,17,0.92,0.23,79.35,4.46
Ballast wear,23,0.59,0.22,83.87,7.14
Ballast wear,11,0.81,0.66,84.73,6.86
Overhead wear,2,0.75,0.27,50.97,4.45
Overhead wear,11,0.41,0.2,61.29,4.83
Ballast wear,24,0.87,0.61,100.0,7.23
Ballast wear,27,0.75,0.16,94.72,7.48
Ballast wear,0,0.49,0.23,37.35,6.38
Ballast wear,1,0.88,0.51,57.88,6.74
Point failure,26,0.51,0.15,91.74,4.58
Overhead wear,19,0.59,0.78,100.0,5.44
Point failure,27,0.33,0.95,100.0,5.18
Rail crack,30,0.6,0.18,100.0,4.77
Ballast wear,19,0.82,0.43,80.83,6.6
Signal fault,18,0.5,0.28,87.28,3.55
Overhead wear,20,0.38,0.68,84.36,5.96
Point failure,1,0.39,0.87,70.99,4.37
Rail crack,27,0.28,0.27,99.84,5.25
Signal fault,4,0.5,0.65,70.05,4.06
Rail crack,30,0.54,0.21,100.0,5.42
Point failure,5,0.98,0.69,86.31,3.97
Signal fault,0,0.13,0.84,59.9,3.29
Signal fault,28,0.4,0.37,100.0,4.36
Rail crack,20,0.33,0.84,100.0,5.58
Overhead wear,27,0.84,0.19,97.79,5.34
Rail crack,18,0.51,0.77,100.0,5.61
Rail crack,4,0.83,0.86,86.94,4.9
Signal fault,7,0.1,0.71,71.33,3.48
Rail crack,7,0.17,0.17,60.42,4.23
Overhead wear,2,0.79,0.47,65.22,5.0
Rail crack,6,0.83,0.15,68.78,4.52
Signal fault,26,0.6,0.2,88.98,3.26
Point failure,20,0.59,0.44,93.06,4.42
Ballast wear,5,0.35,0.87,72.5,6.77
Ballast wear,18,0.82,0.12,80.55,6.48
Point failure,18,0.89,0.2,90.67,4.75
Rail crack,29,0.14,0.61,100.0,5.19
Overhead wear,2,0.3,0.76,61.58,5.21
Point failure,7,0.89,0.4,78.64,4.71
Rail crack,15,0.13,0.62,83.36,4.96
Point failure,4,0.64,0.2,62.9,3.93
Rail crack,7,0.57,0.49,73.53,4.05
Rail crack,18,0.9,0.5,100.0,5.33
Point failure,24,0.73,0.31,96.79,4.48
Point failure,12,0.97,0.34,84.07,3.61
Rail crack,0,0.34,0.47,58.67,4.24
Signal fault,7,0.31,0.52,61.34,2.85
Signal fault,7,0.52,0.5,80.44,3.4
Overhead wear,5,0.87,0.14,60.49,4.85
Rail crack,25,0.52,0.49,100.0,4.74
Rail crack,8,0.84,0.36,79.33,4.93
Signal fault,6,0.62,0.13,56.58,3.32
Signal fault,12,0.94,0.25,85.07,3.35
Overhead wear,20,0.33,0.71,99.66,5.37
Point failure,25,0.75,0.88,100.0,5.13
Point failure,29,0.82,0.7,100.0,4.68
Point failure,16,0.16,0.17,72.0,4.07
Overhead wear,8,0.68,0.9,87.72,6.22
Signal fault,21,0.2,0.24,82.01,3.5
Overhead wear,1,0.58,0.85,72.42,5.78
Signal fault,0,0.18,0.46,49.0,2.92
Rail crack,5,0.86,0.72,93.76,4.5
Rail crack,20,0.88,0.63,100.0,4.71
Signal fault,27,0.62,0.78,100.0,4.33
Ballast wear,23,0.25,0.68,93.58,7.36
Ballast wear,27,0.44,0.11,90.34,6.75
Signal fault,16,0.19,0.86,97.59,4.2
Point failure,5,0.51,0.72,76.22,3.88
Signal fault,2,0.97,0.45,64.36,3.31
Ballast wear,5,0.78,0.51,68.69,6.47
Overhead wear,4,0.96,0.38,68.66,5.2
Point failure,8,0.99,0.36,78.37,4.16
Overhead wear,15,0.8,0.98,100.0,5.19
Overhead wear,21,0.32,0.85,100.0,5.67
Overhead wear,18,0.26,0.56,80.74,5.71
Signal fault,6,0.59,0.25,62.65,3.27
Point failure,18,0.8,0.76,100.0,4.29
Ballast wear,18,0.28,0.46,77.98,6.74
Point failure,21,0.3,0.97,100.0,5.05
Overhead wear,14,0.88,0.22,77.05,5.18
Rail crack,23,0.35,0.89,100.0,5.39
Point failure,19,0.88,0.63,100.0,4.32
Rail crack,29,0.79,0.45,100.0,6.17
Ballast wear,16,0.88,0.98,100.0,7.16
Point failure,6,0.96,0.28,76.46,3.84
Signal fault,30,0.9,0.5,100.0,4.36
Ballast wear,21,0.72,0.75,99.36,7.35
Overhead wear,15,0.84,0.4,86.65,5.79
Signal fault,18,0.28,1.0,100.0,4.23
Overhead wear,0,0.16,0.11,35.77,4.63
Signal fault,1,0.19,0.46,47.86,3.69
Point failure,29,0.12,0.38,100.0,4.91
Overhead wear,12,0.73,0.11,65.19,5.05
Ballast wear,9,0.32,0.53,66.94,6.47
Point failure,1,0.35,0.82,68.88,4.4
Signal fault,21,0.39,0.53,96.69,3.68
Overhead wear,12,0.64,0.42,73.68,5.3
Rail crack,22,0.55,0.5,100.0,5.43
Point failure,19,0.71,0.32,94.97,4.49
Point failure,12,0.93,0.75,93.96,4.36
Ballast wear,17,0.84,0.75,95.02,6.65
Rail crack,30,0.27,0.8,100.0,6.02
Rail crack,22,0.62,0.52,100.0,5.02
Overhead wear,27,0.19,0.42,98.01,5.5
Point failure,3,0.81,0.9,88.5,4.27
Point failure,18,0.18,0.72,83.44,4.58
Signal fault,24,0.73,0.1,93.39,3.56
Overhead wear,4,0.97,0.78,82.25,5.3
Rail crack,20,0.53,0.67,95.35,5.13
Rail crack,2,0.51,0.29,53.33,3.87
Point failure,6,0.79,0.47,76.36,4.15
Rail crack,8,0.88,0.76,98.2,5.02
Overhead wear,12,0.37,0.22,69.8,5.28
Point failure,5,0.68,0.46,67.1,4.21
Point failure,20,0.36,0.43,83.27,4.48
Overhead wear,9,0.11,0.44,60.89,4.82
Rail crack,2,0.46,0.58,67.79,4.53
Signal fault,24,0.97,0.57,100.0,4.51
Point failure,15,0.8,0.57,94.0,4.46
Overhead wear,24,0.8,0.57,100.0,5.24
Signal fault,20,0.68,0.98,100.0,4.46
Rail crack,23,0.51,0.46,100.0,5.0
Rail crack,28,0.32,0.54,100.0,5.77
Ballast wear,3,0.96,0.95,84.0,6.87
Point failure,21,0.43,0.3,87.4,4.27
Ballast wear,24,0.8,0.62,100.0,7.11
Point failure,14,0.25,0.68,90.97,4.19
Rail crack,14,0.15,0.72,90.2,5.06
Point failure,19,0.31,0.14,70.54,3.97
Ballast wear,14,0.42,0.95,91.28,7.3
Ballast wear,13,0.59,0.49,70.65,6.7
Signal fault,11,0.86,0.98,100.0,4.23
Point failure,11,0.96,0.28,74.41,4.19
Rail crack,17,0.63,0.17,84.8,4.66
Point failure,11,0.81,0.92,100.0,4.57
Overhead wear,9,0.53,0.75,83.93,4.98
Rail crack,26,0.96,0.79,100.0,5.73
Overhead wear,9,0.81,0.44,81.27,5.19
Overhead wear,23,0.83,0.26,100.0,5.42
Overhead wear,26,0.13,0.53,92.77,5.81
Rail crack,21,0.46,0.93,100.0,5.77
Point failure,19,0.78,0.93,100.0,4.99
Rail crack,17,0.99,0.45,93.79,5.35
Rail crack,17,0.91,0.89,100.0,5.42
Overhead wear,25,0.96,0.23,95.91,5.65
Point failure,4,0.75,0.61,68.25,3.88
Signal fault,18,0.23,0.49,89.83,3.77
Ballast wear,19,0.55,0.28,73.99,6.9
Signal fault,15,0.87,0.29,84.59,3.89
Signal fault,14,0.83,0.85,100.0,3.78
Ballast wear,3,0.24,0.89,58.24,6.9
Overhead wear,4,0.45,0.59,74.54,5.35
Point failure,21,0.43,0.75,100.0,4.55
Overhead wear,28,0.49,0.89,100.0,5.78
Point failure,14,0.47,0.78,97.31,4.61
Overhead wear,24,0.33,0.34,88.27,5.24
Point failure,6,0.3,0.79,71.76,4.35
Signal fault,22,0.59,0.74,100.0,4.08
Rail crack,16,0.96,0.14,90.5,4.14
Point failure,14,0.74,0.78,99.43,4.26
Rail crack,18,0.43,0.94,100.0,5.56
Signal fault,5,0.93,0.73,85.81,3.86
Rail crack,1,0.83,0.28,58.0,3.89
Point failure,20,0.87,0.73,100.0,5.19
Rail crack,16,0.44,0.25,84.13,4.93
Ballast wear,16,0.12,0.86,85.06,7.3
Point failure,23,0.73,0.84,100.0,4.88
Signal fault,20,0.55,0.75,100.0,4.28
Signal fault,18,0.46,0.22,74.83,3.41
Signal fault,24,0.82,0.33,100.0,4.56
Signal fault,18,0.11,0.71,89.73,3.92
Overhead wear,10,0.27,0.47,67.4,5.39
Point failure,13,0.64,0.32,76.71,4.08
Rail crack,18,0.71,0.16,85.19,4.29
Rail crack,12,0.81,0.76,100.0,4.86
Overhead wear,23,0.99,0.39,100.0,5.42
Ballast wear,16,0.19,0.59,77.43,7.07
Ballast wear,25,0.62,0.28,88.01,6.99
Signal fault,9,0.57,0.77,87.75,4.52
Ballast wear,10,0.64,0.25,70.61,6.31
Signal fault,19,0.18,0.6,94.3,4.34
Signal fault,9,0.51,0.7,84.01,4.59
Signal fault,27,0.1,0.26,89.16,3.72
Overhead wear,14,0.29,0.95,86.47,6.11
Overhead wear,27,0.66,0.45,100.0,5.89
Signal fault,0,0.3,0.75,67.95,3.81
Rail crack,9,0.11,0.49,71.45,4.55
Rail crack,27,0.88,0.84,100.0,5.66
Signal fault,23,0.31,0.59,100.0,4.47
Overhead wear,7,0.69,0.84,83.5,5.31
Overhead wear,10,0.32,0.16,64.82,4.84
Ballast wear,0,0.71,0.17,46.15,6.28
Signal fault,30,0.59,0.28,100.0,4.33
Signal fault,13,0.36,0.79,82.75,3.92
Signal fault,24,0.4,0.88,100.0,4.35
Signal fault,27,0.85,0.55,100.0,4.28
Point failure,17,0.84,0.36,90.45,4.28
Point failure,21,0.55,0.15,89.22,4.25
Rail crack,22,0.74,0.11,96.2,4.7
Overhead wear,15,0.56,0.81,97.79,5.76
Signal fault,2,0.83,0.11,53.63,3.38
Ballast wear,22,0.33,0.77,95.18,7.45
Overhead wear,3,0.67,0.44,58.6,4.71
Rail crack,20,0.91,0.17,93.25,5.05
Rail crack,21,0.82,0.9,100.0,4.73
Rail crack,30,0.65,0.24,100.0,5.25
Point failure,14,0.54,0.49,87.63,4.44
Overhead wear,5,0.81,0.37,57.9,5.11
Signal fault,9,0.89,0.21,75.83,3.99
Ballast wear,8,0.29,0.38,55.47,6.35
Signal fault,21,0.3,0.96,100.0,5.02
Rail crack,29,0.88,0.71,100.0,5.28
Overhead wear,17,0.39,0.59,85.61,5.5
Overhead wear,15,0.65,0.21,71.77,5.0
Ballast wear,16,0.29,0.45,73.82,6.89
Rail crack,6,0.48,0.12,70.08,3.94
Overhead wear,10,0.72,0.33,76.93,5.1
Rail crack,21,0.86,0.54,100.0,4.87
Overhead wear,18,0.84,0.46,92.0,5.4
Rail crack,7,0.11,0.35,56.7,4.46
Point failure,14,0.16,0.68,83.42,4.27
Overhead wear,21,0.49,1.0,100.0,6.12
Signal fault,2,0.42,0.44,56.65,3.23
Signal fault,27,0.75,0.69,100.0,4.02
Rail crack,8,0.1,0.82,81.17,5.35
Rail crack,3,0.79,0.63,81.07,4.83
Ballast wear,19,0.23,0.7,92.91,7.34
Point failure,8,0.41,0.45,68.4,3.89
Signal fault,20,0.69,0.9,100.0,4.65
Ballast wear,11,0.53,0.74,76.91,6.73
Signal fault,24,0.32,0.29,93.15,3.9
Point failure,10,0.27,0.17,57.72,4.39
Ballast wear,22,0.69,0.82,100.0,6.99
Signal fault,5,0.77,0.3,70.09,3.42
Overhead wear,25,0.35,0.69,100.0,5.96
Point failure,25,0.73,0.43,100.0,4.57
Overhead wear,20,0.9,0.84,100.0,5.88
Rail crack,23,0.28,0.56,99.84,5.63
Overhead wear,5,0.18,0.77,69.92,5.53
Signal fault,19,0.91,0.94,100.0,4.63
Signal fault,12,0.52,0.61,79.04,3.5
